n,combo,best_params,accuracy
3,"('Gender', 'MCQ', 'Q1')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6381578947368421
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6381578947368421
3,"('Gender', 'MCQ', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.625
4,"('Gender', 'Total', 'Q1', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.625
4,"('Gender', 'Total', 'Q1', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.625
4,"('Gender', 'MCQ', 'Q1', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.625
4,"('Gender', 'MCQ', 'Q1', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.625
4,"('Gender', 'MCQ', 'Q2', 'Q3')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.625
5,"('Gender', 'Total', 'Q1', 'Q2', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.625
5,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.625
5,"('Total', 'MCQ', 'Q1', 'Q2', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.625
3,"('Gender', 'Total', 'Q2')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
3,"('Gender', 'MCQ', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.618421052631579
3,"('Total', 'Q1', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.618421052631579
4,"('Gender', 'Total', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
4,"('Total', 'MCQ', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
4,"('MCQ', 'Q1', 'Q2', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
5,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
5,"('Gender', 'Total', 'MCQ', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
5,"('Gender', 'Total', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
5,"('Gender', 'MCQ', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
6,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.618421052631579
6,"('Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.618421052631579
3,"('Gender', 'Total', 'Q1')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
3,"('Gender', 'Total', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.6118421052631579
3,"('Total', 'MCQ', 'Q1')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
3,"('MCQ', 'Q1', 'Q2')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
3,"('MCQ', 'Q1', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
4,"('Gender', 'Total', 'MCQ', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
4,"('Gender', 'Total', 'Q1', 'Q3')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
4,"('MCQ', 'Q1', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
5,"('Gender', 'Total', 'MCQ', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
5,"('Gender', 'Total', 'Q1', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
5,"('Gender', 'Total', 'Q1', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
5,"('Total', 'MCQ', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6118421052631579
5,"('MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6118421052631579
6,"('Gender', 'Total', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6118421052631579
3,"('Gender', 'Total', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
3,"('Total', 'MCQ', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
3,"('MCQ', 'Q1', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
3,"('MCQ', 'Q1', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
3,"('MCQ', 'Q2', 'Q3')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
4,"('Gender', 'Total', 'MCQ', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.6052631578947368
4,"('Gender', 'Total', 'Q2', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
4,"('Gender', 'Total', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
4,"('Gender', 'MCQ', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
4,"('Gender', 'MCQ', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
4,"('Total', 'Q1', 'Q2', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.6052631578947368
4,"('Total', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6052631578947368
4,"('MCQ', 'Q1', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6052631578947368
4,"('MCQ', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
5,"('Total', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6052631578947368
3,"('Gender', 'Total', 'MCQ')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
3,"('Gender', 'Total', 'Q3')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
3,"('Total', 'Q1', 'Q2')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
4,"('Gender', 'Total', 'MCQ', 'Q1')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
4,"('Gender', 'Total', 'MCQ', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
4,"('Gender', 'Total', 'Q1', 'Q2')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
4,"('Gender', 'MCQ', 'Q1', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
4,"('Gender', 'MCQ', 'Q2', 'Q4')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5986842105263158
4,"('Gender', 'MCQ', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5986842105263158
4,"('Gender', 'MCQ', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
4,"('Total', 'MCQ', 'Q1', 'Q2')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
4,"('Total', 'MCQ', 'Q1', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
4,"('MCQ', 'Q1', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
4,"('MCQ', 'Q1', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
